cname value
dcf-de-livedazn.daznedge.net 7172
dcj-ac-live.cdn.indazn.com 2725
dce-ak-livedazn.akamaized.net 4317
dcf-fs-live-dazn-cdn.dazn.com 2237
dce-fs-live-dazn-cdn.dazn.com 45
dcj-ak-livedazn.akamaized.net 9
