cname value
a39aivottlinear-a.akamaihd.net 3236
abakwtgaaaaaaaamcrqoaxomp6cdq.ottb.live.cf.ww.aiv-cdn.net 1168
a159aivottlinear-a.akamaihd.net 2014
abakwtgaaaaaaaamodimisjv7jtbv.ottb.live.cf.ww.aiv-cdn.net 470
qw.live.pv-cdn.net 836
a96aivottlinear-a.akamaihd.net 1816
abakwtgaaaaaaaamcof3cfkqsda6c.ottb.live.cf.ww.aiv-cdn.net 372
